,index,threshold,file,channel,genotype
34,273,30,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,8,WT
35,280,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,9,WT
36,287,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,10,WT
37,301,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,12,WT
38,308,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,13,WT
39,315,60,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,14,WT
40,322,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,15,WT
41,329,20,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,16,WT
42,336,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,1,WT
43,343,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,2,WT
44,350,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,3,WT
45,357,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,4,WT
46,364,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,5,WT
47,371,30,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,6,WT
48,378,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,7,WT
49,385,60,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,8,WT
50,392,60,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,9,WT
51,399,40,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,10,WT
52,406,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,11,WT
53,413,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,12,WT
54,420,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,13,WT
55,427,20,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,14,WT
56,434,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,15,WT
57,441,10,F:\Fmr1 SD Tanks\WT\BA190305F\Block-2,16,WT
58,448,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,1,WT
59,455,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,2,WT
60,462,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,3,WT
61,469,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,4,WT
62,476,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,5,WT
63,483,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,6,WT
64,518,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,11,WT
65,525,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,12,WT
66,539,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,14,WT
67,546,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,15,WT
68,553,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,16,WT
69,560,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,1,WT
70,567,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,2,WT
71,574,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,3,WT
72,588,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,5,WT
73,595,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,6,WT
74,630,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,11,WT
75,651,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,14,WT
76,658,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,15,WT
77,665,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,16,WT
78,672,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,1,KO
79,679,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,2,KO
80,686,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,3,KO
81,693,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,4,KO
82,700,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,5,KO
83,707,60,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,6,KO
84,714,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,7,KO
85,735,60,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,10,KO
86,742,50,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,11,KO
87,749,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,12,KO
88,756,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,13,KO
89,763,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,14,KO
90,770,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,15,KO
91,777,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,16,KO
92,784,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,1,KO
93,791,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,2,KO
94,798,40,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,3,KO
95,805,30,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,4,KO
96,812,30,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,5,KO
97,819,60,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,6,KO
98,826,30,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,7,KO
99,847,60,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,10,KO
100,854,60,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,11,KO
101,861,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,12,KO
102,868,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,13,KO
103,875,30,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,14,KO
104,882,20,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,15,KO
105,889,30,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,16,KO
106,896,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,1,KO
107,903,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,2,KO
108,917,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,4,KO
109,924,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,5,KO
110,938,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,7,KO
111,973,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,12,KO
112,980,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,13,KO
113,987,40,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,14,KO
114,994,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,15,KO
115,1001,20,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,16,KO
116,1008,50,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,1,KO
117,1015,30,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,2,KO
118,1022,60,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,3,KO
119,1029,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,4,KO
120,1036,30,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,5,KO
121,1050,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,7,KO
122,1057,40,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,8,KO
123,1071,30,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,10,KO
124,1085,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,12,KO
125,1092,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,13,KO
126,1099,60,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,14,KO
127,1106,30,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,15,KO
128,1113,20,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,16,KO
129,1120,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,1,KO
130,1127,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,2,KO
131,1134,50,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,3,KO
132,1148,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,5,KO
133,1155,60,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,6,KO
134,1162,40,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,7,KO
135,1169,60,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,8,KO
136,1183,40,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,10,KO
137,1190,60,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,11,KO
138,1197,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,12,KO
139,1204,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,13,KO
140,1211,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,14,KO
141,1218,40,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,15,KO
142,1225,40,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,16,KO
143,1232,10,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,1,KO
144,1239,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,2,KO
145,1246,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,3,KO
146,1253,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,4,KO
147,1260,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,5,KO
148,1267,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,6,KO
149,1274,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,7,KO
150,1295,60,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,10,KO
151,1302,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,11,KO
152,1309,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,12,KO
153,1316,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,13,KO
154,1323,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,14,KO
155,1330,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,15,KO
156,1337,20,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,16,KO
157,1344,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,1,KO
158,1351,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,2,KO
159,1358,20,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,3,KO
160,1365,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,4,KO
161,1372,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,5,KO
162,1379,40,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,6,KO
163,1386,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,7,KO
164,1407,50,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,10,KO
165,1414,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,11,KO
166,1421,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,12,KO
167,1428,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,13,KO
168,1435,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,14,KO
169,1442,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,15,KO
170,1449,30,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,16,KO
171,1456,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,1,KO
172,1463,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,2,KO
173,1470,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,3,KO
174,1477,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,4,KO
175,1484,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,5,KO
176,1491,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,6,KO
177,1498,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,7,KO
178,1526,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,11,KO
179,1533,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,12,KO
180,1540,30,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,13,KO
181,1547,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,14,KO
182,1554,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,15,KO
183,1561,20,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,16,KO
184,1568,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,1,KO
185,1575,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,2,KO
186,1582,30,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,3,KO
187,1589,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,4,KO
188,1596,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,5,KO
189,1603,30,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,6,KO
190,1610,60,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,7,KO
191,1638,30,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,11,KO
192,1645,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,12,KO
193,1652,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,13,KO
194,1659,30,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,14,KO
195,1666,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,15,KO
196,1673,20,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,16,KO
197,1680,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,1,KO
198,1687,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,2,KO
199,1694,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,3,KO
200,1701,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,4,KO
201,1708,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,5,KO
202,1715,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,6,KO
203,1722,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,7,KO
204,1743,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,10,KO
205,1750,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,11,KO
206,1757,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,12,KO
207,1764,40,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,13,KO
208,1771,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,14,KO
209,1778,50,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,15,KO
210,1785,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,16,KO
211,1806,40,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,3,WT
212,1834,60,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,7,WT
213,1862,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,11,WT
214,1897,40,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,16,WT
215,1904,30,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,1,WT
216,1918,60,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,3,WT
217,1932,70,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,5,WT
218,1974,50,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,11,WT
219,2002,70,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,15,WT
220,2016,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,1,WT
221,2023,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,2,WT
222,2030,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,3,WT
223,2044,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,5,WT
224,2051,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,6,WT
225,2086,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,11,WT
226,2093,50,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,12,WT
227,2107,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,14,WT
228,2114,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,15,WT
229,2121,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,16,WT
230,7,10,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,2,WT
231,14,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,3,WT
232,35,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,6,WT
233,70,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,11,WT
234,91,30,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,14,WT
235,105,40,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,16,WT
236,112,40,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,1,WT
237,119,40,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,2,WT
238,126,50,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,3,WT
239,147,50,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,6,WT
240,182,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,11,WT
241,203,60,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,14,WT
242,210,50,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,15,WT
243,217,40,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,16,WT
244,224,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,1,WT
245,231,30,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,2,WT
246,238,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,3,WT
247,252,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,5,WT
248,259,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,6,WT
249,294,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,11,WT
250,301,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,12,WT
251,308,50,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,13,WT
252,315,30,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,14,WT
253,322,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,15,WT
254,329,40,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,16,WT
255,336,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,1,WT
256,343,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,2,WT
257,350,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,3,WT
258,364,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,5,WT
259,406,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,11,WT
260,413,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,12,WT
261,427,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,14,WT
262,434,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,15,WT
263,441,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,16,WT
264,448,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,1,WT
265,455,40,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,2,WT
266,462,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,3,WT
267,476,40,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,5,WT
268,483,40,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,6,WT
269,518,40,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,11,WT
270,539,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,14,WT
271,546,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,15,WT
272,553,30,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,16,WT
273,567,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,2,WT
274,581,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,4,WT
275,588,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,5,WT
276,637,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,12,WT
277,658,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,15,WT
278,665,20,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,16,WT
279,672,30,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,1,WT
280,686,20,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,3,WT
281,707,30,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,6,WT
282,742,20,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,11,WT
283,763,20,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,14,WT
284,784,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,1,WT
285,791,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,2,WT
286,798,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,3,WT
287,819,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,6,WT
288,826,60,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,7,WT
289,847,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,10,WT
290,854,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,11,WT
291,861,50,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,12,WT
292,868,50,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,13,WT
293,875,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,14,WT
294,882,50,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,15,WT
295,889,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,16,WT
296,896,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,1,KO
297,910,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,3,KO
298,924,60,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,5,KO
299,973,60,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,12,KO
300,987,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,14,KO
301,994,30,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,15,KO
302,1008,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,1,KO
303,1015,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,2,KO
304,1022,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,3,KO
305,1029,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,4,KO
306,1036,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,5,KO
307,1043,50,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,6,KO
308,1050,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,7,KO
309,1071,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,10,KO
310,1078,30,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,11,KO
311,1085,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,12,KO
312,1092,20,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,13,KO
313,1099,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,14,KO
314,1106,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,15,KO
315,1113,10,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,16,KO
316,0,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,1,WT
317,3,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,2,WT
318,6,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,3,WT
319,9,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,4,WT
320,12,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,5,WT
321,15,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,6,WT
322,18,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,7,WT
323,21,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,8,WT
324,24,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,9,WT
325,27,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,10,WT
326,30,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,11,WT
327,33,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,12,WT
328,36,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,13,WT
329,39,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,14,WT
330,42,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,15,WT
331,45,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,16,WT
332,48,20,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,1,WT
333,51,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,2,WT
334,54,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,3,WT
335,57,40,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,4,WT
336,60,30,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,5,WT
