,index,CF,file,channel,genotype
41,385,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,24,KO
42,392,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,25,KO
43,399,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,26,KO
44,406,30000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,27,KO
45,413,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,28,KO
46,420,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,29,KO
47,427,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,30,KO
48,434,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,31,KO
49,441,20000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,32,KO
50,448,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,17,KO
51,455,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,18,KO
52,462,20000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,19,KO
53,469,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,20,KO
54,476,20000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,21,KO
55,483,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,22,KO
56,490,12000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,23,KO
57,497,20000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,24,KO
58,504,6000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,25,KO
59,511,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,26,KO
60,525,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,28,KO
61,532,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,29,KO
62,539,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,30,KO
63,546,20000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,31,KO
64,553,35000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,32,KO
65,560,24000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,17,KO
66,567,35000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,18,KO
67,574,30000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,19,KO
68,588,35000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,21,KO
69,623,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,26,KO
70,630,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,27,KO
71,637,24000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,28,KO
72,644,12000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,29,KO
73,651,24000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,30,KO
74,658,24000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,31,KO
75,665,30000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,32,KO
76,672,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,17,KO
77,679,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,18,KO
78,686,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,19,KO
79,693,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,20,KO
80,700,20000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,21,KO
81,707,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,22,KO
82,714,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,23,KO
83,721,8000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,24,KO
84,728,6000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,25,KO
85,735,8000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,26,KO
86,742,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,27,KO
87,749,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,28,KO
88,756,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,29,KO
89,763,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,30,KO
90,770,24000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,31,KO
91,777,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,32,KO
92,784,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,17,WT
93,791,35000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,18,WT
94,798,35000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,19,WT
95,805,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,20,WT
96,812,24000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,21,WT
97,819,40000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,22,WT
98,840,1500,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,25,WT
99,847,1500,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,26,WT
100,854,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,27,WT
101,861,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,28,WT
102,875,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,30,WT
103,882,24000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,31,WT
104,889,8000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,32,WT
105,0,24000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,17,WT
106,7,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,18,WT
107,14,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,19,WT
108,21,16000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,20,WT
109,28,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,21,WT
110,35,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,22,WT
111,42,12000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,23,WT
112,49,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,24,WT
113,56,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,25,WT
114,63,12000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,26,WT
115,70,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,27,WT
116,77,24000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,28,WT
117,84,16000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,29,WT
118,91,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,30,WT
119,98,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,31,WT
120,105,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,32,WT
121,112,35000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,17,WT
122,126,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,19,WT
123,154,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,23,WT
124,161,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,24,WT
125,168,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,25,WT
126,175,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,26,WT
127,189,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,28,WT
128,196,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,29,WT
129,203,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,30,WT
130,224,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,17,WT
131,231,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,18,WT
132,238,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,19,WT
133,245,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,20,WT
134,252,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,21,WT
135,259,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,22,WT
136,266,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,23,WT
137,273,6000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,24,WT
138,280,3000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,25,WT
139,287,6000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,26,WT
140,294,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,27,WT
141,301,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,28,WT
142,308,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,29,WT
143,315,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,30,WT
144,322,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,31,WT
145,329,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,32,WT
146,357,8000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,20,KO
147,364,4000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,21,KO
148,378,30000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,23,KO
149,385,4000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,24,KO
150,420,8000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,29,KO
151,434,8000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,31,KO
152,441,4000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,32,KO
153,448,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,17,KO
154,455,35000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,18,KO
155,462,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,19,KO
156,469,6000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,20,KO
157,476,24000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,21,KO
158,483,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,22,KO
159,490,6000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,23,KO
160,497,4000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,24,KO
161,504,1500,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,25,KO
162,511,3000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,26,KO
163,518,24000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,27,KO
164,525,12000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,28,KO
165,532,2000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,29,KO
166,539,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,30,KO
167,546,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,31,KO
168,553,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,32,KO
169,0,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,17,WT
170,3,16000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,18,WT
171,6,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,19,WT
172,9,24000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,20,WT
173,12,12000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,21,WT
174,15,50000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,22,WT
175,18,16000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,23,WT
176,21,35000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,24,WT
177,24,35000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,25,WT
178,27,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,26,WT
179,30,24000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,27,WT
180,33,16000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,28,WT
181,36,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,29,WT
182,39,20000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,30,WT
183,42,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,31,WT
184,45,20000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,32,WT
185,48,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,17,WT
186,51,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,18,WT
187,54,50000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,19,WT
188,57,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,20,WT
189,60,30000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,21,WT
190,63,24000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,22,WT
191,66,24000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,23,WT
192,75,12000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,26,WT
193,78,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,27,WT
194,81,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,28,WT
195,84,30000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,29,WT
196,87,20000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,30,WT
197,90,20000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,31,WT
198,93,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,32,WT
199,96,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,17,WT
200,99,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,18,WT
201,102,50000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,19,WT
202,105,20000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,20,WT
203,108,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,21,WT
204,111,24000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,22,WT
205,114,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,23,WT
206,117,30000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,24,WT
207,120,6000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,25,WT
208,123,20000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,26,WT
209,126,30000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,27,WT
210,129,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,28,WT
211,132,6000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,29,WT
212,135,16000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,30,WT
213,138,2000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,31,WT
214,141,20000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,32,WT
215,144,35000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,17,KO
216,147,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,18,KO
217,150,30000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,19,KO
218,153,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,20,KO
219,156,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,21,KO
220,159,40000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,22,KO
221,162,20000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,23,KO
222,165,20000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,24,KO
223,168,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,25,KO
224,171,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,26,KO
225,174,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,27,KO
226,177,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,28,KO
227,180,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,29,KO
228,183,24000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,30,KO
229,186,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,31,KO
230,189,20000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,32,KO
231,192,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,17,KO
232,195,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,18,KO
233,198,20000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,19,KO
234,201,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,20,KO
235,204,20000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,21,KO
236,207,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,22,KO
237,210,12000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,23,KO
238,213,16000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,24,KO
239,216,8000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,25,KO
240,219,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,26,KO
241,222,35000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,27,KO
242,225,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,28,KO
243,228,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,29,KO
244,231,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,30,KO
245,234,24000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,31,KO
246,237,35000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,32,KO
247,240,24000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,17,KO
248,243,20000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,18,KO
249,246,30000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,19,KO
250,249,35000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,20,KO
251,255,20000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,22,KO
252,261,12000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,24,KO
253,267,20000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,26,KO
254,270,35000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,27,KO
255,273,20000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,28,KO
256,279,35000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,30,KO
257,282,16000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,31,KO
258,285,16000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,32,KO
259,288,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,17,KO
260,291,30000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,18,KO
261,294,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,19,KO
262,297,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,20,KO
263,300,24000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,21,KO
264,303,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,22,KO
265,306,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,23,KO
266,309,8000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,24,KO
267,312,6000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,25,KO
268,315,8000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,26,KO
269,318,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,27,KO
270,321,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,28,KO
271,324,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,29,KO
272,327,35000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,30,KO
273,330,24000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,31,KO
274,333,24000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,32,KO
275,336,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,17,WT
276,339,8000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,18,WT
277,342,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,19,WT
278,345,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,20,WT
279,348,24000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,21,WT
280,354,12000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,23,WT
281,357,1500,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,24,WT
282,360,3000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,25,WT
283,363,1500,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,26,WT
284,366,24000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,27,WT
285,369,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,28,WT
286,372,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,29,WT
287,375,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,30,WT
288,378,24000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,31,WT
289,381,35000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,32,WT
290,0,24000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,17,WT
291,3,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,18,WT
292,6,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,19,WT
293,9,24000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,20,WT
294,12,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,21,WT
295,15,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,22,WT
296,18,16000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,23,WT
297,21,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,24,WT
298,24,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,25,WT
299,27,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,26,WT
300,30,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,27,WT
301,33,24000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,28,WT
302,36,12000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,29,WT
303,39,24000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,30,WT
304,42,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,31,WT
305,45,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,32,WT
306,48,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,17,WT
307,51,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,18,WT
308,54,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,19,WT
309,57,35000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,20,WT
310,60,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,21,WT
311,66,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,23,WT
312,69,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,24,WT
313,72,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,25,WT
314,75,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,26,WT
315,78,35000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,27,WT
316,81,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,28,WT
317,84,8000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,29,WT
318,87,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,30,WT
319,90,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,31,WT
320,93,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,32,WT
321,96,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,17,WT
322,99,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,18,WT
323,102,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,19,WT
324,105,16000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,20,WT
325,108,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,21,WT
326,111,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,22,WT
327,114,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,23,WT
328,117,6000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,24,WT
329,120,3000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,25,WT
330,123,6000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,26,WT
331,126,45000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,27,WT
