,Unnamed: 0,index,CF,file,channel,genotype
100,100,854,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,27,WT
101,101,861,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,28,WT
102,102,875,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,30,WT
103,103,882,24000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,31,WT
104,104,889,8000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,32,WT
105,105,0,24000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,17,WT
106,106,7,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,18,WT
107,107,14,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,19,WT
108,108,21,16000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,20,WT
109,109,28,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,21,WT
110,110,35,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,22,WT
111,111,42,12000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,23,WT
112,112,49,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,24,WT
113,113,56,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,25,WT
114,114,63,12000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,26,WT
115,115,70,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,27,WT
116,116,77,24000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,28,WT
117,117,84,16000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,29,WT
118,118,91,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,30,WT
119,119,98,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,31,WT
120,120,105,30000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,32,WT
121,121,112,35000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,17,WT
122,122,126,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,19,WT
123,123,154,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,23,WT
124,124,161,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,24,WT
125,125,168,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,25,WT
126,126,175,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,26,WT
127,127,189,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,28,WT
128,128,196,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,29,WT
129,129,203,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,30,WT
130,130,224,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,17,WT
131,131,231,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,18,WT
132,132,238,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,19,WT
133,133,245,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,20,WT
134,134,252,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,21,WT
135,135,259,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,22,WT
136,136,266,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,23,WT
137,137,273,6000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,24,WT
138,138,280,3000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,25,WT
139,139,287,6000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,26,WT
140,140,294,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,27,WT
141,141,301,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,28,WT
142,142,308,12000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,29,WT
143,143,315,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,30,WT
144,144,322,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,31,WT
145,145,329,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,32,WT
146,146,357,8000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,20,KO
147,147,364,4000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,21,KO
148,148,378,30000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,23,KO
149,149,385,4000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,24,KO
150,150,420,8000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,29,KO
151,151,434,8000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,31,KO
152,152,441,4000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,32,KO
153,153,448,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,17,KO
154,154,455,35000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,18,KO
155,155,462,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,19,KO
156,156,469,6000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,20,KO
157,157,476,24000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,21,KO
158,158,483,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,22,KO
159,159,490,6000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,23,KO
160,160,497,4000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,24,KO
161,161,504,1500,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,25,KO
162,162,511,3000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,26,KO
163,163,518,24000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,27,KO
164,164,525,12000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,28,KO
165,165,532,2000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,29,KO
166,166,539,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,30,KO
167,167,546,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,31,KO
168,168,553,30000,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,32,KO
180,180,33,16000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,28,WT
183,183,42,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,31,WT
188,188,57,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,20,WT
189,189,60,30000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,21,WT
191,191,66,24000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,23,WT
192,192,75,12000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,26,WT
193,193,78,16000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,27,WT
204,204,111,24000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,22,WT
207,207,120,6000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,25,WT
209,209,126,30000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,27,WT
217,217,150,30000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,19,KO
220,220,159,40000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,22,KO
241,241,222,35000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,27,KO
250,250,249,35000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,20,KO
251,251,255,20000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,22,KO
252,252,261,12000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,24,KO
280,280,354,12000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,23,WT
281,281,357,1500,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,24,WT
286,286,372,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,29,WT
307,307,51,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,18,WT
309,309,57,35000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,20,WT
310,310,60,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,21,WT
315,315,78,35000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,27,WT
319,319,90,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,31,WT
320,320,93,30000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,32,WT
340,340,177,6000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,28,KO
342,342,183,45000,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,30,KO
360,360,0,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,17,KO
361,361,9,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,18,KO
362,362,36,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,21,KO
363,363,54,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,23,KO
364,364,72,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,25,KO
365,365,81,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,26,KO
366,366,99,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,28,KO
367,367,108,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,29,KO
368,368,117,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,30,KO
369,369,126,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,31,KO
370,370,135,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,32,KO
371,371,144,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,17,KO
372,372,153,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,18,KO
373,373,162,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,19,KO
374,374,234,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,27,KO
375,375,243,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,28,KO
376,376,261,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,30,KO
377,377,279,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,32,KO
378,378,288,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,17,KO
379,379,297,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,18,KO
380,380,306,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,19,KO
381,381,315,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,20,KO
382,382,324,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,21,KO
383,383,342,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,23,KO
384,384,351,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,24,KO
385,385,360,3000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,25,KO
386,386,369,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,26,KO
387,387,378,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,27,KO
388,388,387,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,28,KO
389,389,396,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,29,KO
390,390,405,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,30,KO
391,391,414,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,31,KO
392,392,423,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,32,KO
393,393,432,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,17,WT
394,394,441,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,18,WT
395,395,450,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,19,WT
396,396,459,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,20,WT
397,397,468,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,21,WT
398,398,477,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,22,WT
399,399,486,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,23,WT
400,400,495,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,24,WT
401,401,504,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,25,WT
402,402,513,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,26,WT
403,403,531,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,28,WT
404,404,540,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,29,WT
405,405,549,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,30,WT
406,406,558,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,31,WT
407,407,567,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,32,WT
408,408,576,35000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,17,WT
409,409,585,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,18,WT
410,410,594,45000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,19,WT
411,411,603,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,20,WT
412,412,612,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,21,WT
413,413,621,50000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,22,WT
414,414,630,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,23,WT
415,415,639,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,24,WT
416,416,648,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,25,WT
417,417,657,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,26,WT
418,418,666,45000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,27,WT
419,419,675,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,28,WT
420,420,684,24000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,29,WT
421,421,693,35000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,30,WT
422,422,702,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,31,WT
423,423,711,30000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,32,WT
424,424,0,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,17,WT
425,425,9,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,18,WT
426,426,27,12000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,20,WT
427,427,36,12000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,21,WT
428,428,54,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,23,WT
429,429,72,4000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,25,WT
430,430,81,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,26,WT
431,431,99,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,28,WT
432,432,108,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,29,WT
433,433,126,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,31,WT
434,434,135,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,32,WT
435,435,144,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,17,WT
436,436,153,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,18,WT
437,437,162,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,19,WT
438,438,171,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,20,WT
439,439,180,20000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,21,WT
440,440,198,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,23,WT
441,441,216,4000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,25,WT
442,442,225,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,26,WT
443,443,243,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,28,WT
444,444,252,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,29,WT
445,445,270,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,31,WT
