,Unnamed: 0,index,threshold,file,channel,genotype
100,100,854,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,27,WT
101,101,861,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,28,WT
102,102,875,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,30,WT
103,103,882,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,31,WT
104,104,889,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,32,WT
105,105,0,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,17,WT
106,106,7,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,18,WT
107,107,14,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,19,WT
108,108,21,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,20,WT
109,109,28,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,21,WT
110,110,35,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,22,WT
111,111,42,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,23,WT
112,112,49,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,24,WT
113,113,56,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,25,WT
114,114,63,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,26,WT
115,115,70,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,27,WT
116,116,77,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,28,WT
117,117,84,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,29,WT
118,118,91,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,30,WT
119,119,98,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,31,WT
120,120,105,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,32,WT
121,121,112,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,17,WT
122,122,126,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,19,WT
123,123,154,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,23,WT
124,124,161,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,24,WT
125,125,168,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,25,WT
126,126,175,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,26,WT
127,127,189,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,28,WT
128,128,196,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,29,WT
129,129,203,40,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,30,WT
130,130,224,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,17,WT
131,131,231,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,18,WT
132,132,238,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,19,WT
133,133,245,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,20,WT
134,134,252,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,21,WT
135,135,259,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,22,WT
136,136,266,10,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,23,WT
137,137,273,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,24,WT
138,138,280,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,25,WT
139,139,287,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,26,WT
140,140,294,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,27,WT
141,141,301,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,28,WT
142,142,308,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,29,WT
143,143,315,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,30,WT
144,144,322,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,31,WT
145,145,329,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,32,WT
146,146,357,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,20,KO
147,147,364,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,21,KO
148,148,378,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,23,KO
149,149,385,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,24,KO
150,150,420,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,29,KO
151,151,434,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,31,KO
152,152,441,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,32,KO
153,153,448,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,17,KO
154,154,455,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,18,KO
155,155,462,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,19,KO
156,156,469,40,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,20,KO
157,157,476,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,21,KO
158,158,483,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,22,KO
159,159,490,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,23,KO
160,160,497,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,24,KO
161,161,504,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,25,KO
162,162,511,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,26,KO
163,163,518,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,27,KO
164,164,525,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,28,KO
165,165,532,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,29,KO
166,166,539,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,30,KO
167,167,546,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,31,KO
168,168,553,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,32,KO
180,180,33,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,28,WT
183,183,42,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,31,WT
188,188,57,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,20,WT
189,189,60,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,21,WT
191,191,66,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,23,WT
192,192,75,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,26,WT
193,193,78,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,27,WT
204,204,111,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,22,WT
207,207,120,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,25,WT
209,209,126,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,27,WT
217,217,150,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,19,KO
220,220,159,40,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,22,KO
241,241,222,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,27,KO
250,250,249,40,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,20,KO
251,251,255,40,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,22,KO
252,252,261,40,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,24,KO
280,280,354,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,23,WT
281,281,357,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,24,WT
286,286,372,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,29,WT
307,307,51,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,18,WT
309,309,57,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,20,WT
310,310,60,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,21,WT
315,315,78,40,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,27,WT
319,319,90,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,31,WT
320,320,93,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,32,WT
340,340,177,30,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,28,KO
342,342,183,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,30,KO
360,360,0,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,17,KO
361,361,9,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,18,KO
362,362,36,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,21,KO
363,363,54,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,23,KO
364,364,72,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,25,KO
365,365,81,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,26,KO
366,366,99,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,28,KO
367,367,108,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,29,KO
368,368,117,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,30,KO
369,369,126,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,31,KO
370,370,135,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410B/Block-3,32,KO
371,371,144,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,17,KO
372,372,153,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,18,KO
373,373,162,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,19,KO
374,374,234,50,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,27,KO
375,375,243,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,28,KO
376,376,261,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,30,KO
377,377,279,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410C/Block-3,32,KO
378,378,288,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,17,KO
379,379,297,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,18,KO
380,380,306,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,19,KO
381,381,315,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,20,KO
382,382,324,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,21,KO
383,383,342,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,23,KO
384,384,351,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,24,KO
385,385,360,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,25,KO
386,386,369,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,26,KO
387,387,378,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,27,KO
388,388,387,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,28,KO
389,389,396,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,29,KO
390,390,405,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,30,KO
391,391,414,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,31,KO
392,392,423,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,32,KO
393,393,432,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,17,WT
394,394,441,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,18,WT
395,395,450,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,19,WT
396,396,459,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,20,WT
397,397,468,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,21,WT
398,398,477,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,22,WT
399,399,486,10,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,23,WT
400,400,495,10,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,24,WT
401,401,504,10,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,25,WT
402,402,513,10,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,26,WT
403,403,531,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,28,WT
404,404,540,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,29,WT
405,405,549,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,30,WT
406,406,558,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,31,WT
407,407,567,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,32,WT
408,408,576,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,17,WT
409,409,585,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,18,WT
410,410,594,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,19,WT
411,411,603,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,20,WT
412,412,612,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,21,WT
413,413,621,40,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,22,WT
414,414,630,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,23,WT
415,415,639,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,24,WT
416,416,648,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,25,WT
417,417,657,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,26,WT
418,418,666,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,27,WT
419,419,675,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,28,WT
420,420,684,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,29,WT
421,421,693,30,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,30,WT
422,422,702,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,31,WT
423,423,711,20,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,32,WT
424,424,0,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,17,WT
425,425,9,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,18,WT
426,426,27,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,20,WT
427,427,36,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,21,WT
428,428,54,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,23,WT
429,429,72,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,25,WT
430,430,81,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,26,WT
431,431,99,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,28,WT
432,432,108,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,29,WT
433,433,126,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,31,WT
434,434,135,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,32,WT
435,435,144,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,17,WT
436,436,153,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,18,WT
437,437,162,40,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,19,WT
438,438,171,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,20,WT
439,439,180,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,21,WT
440,440,198,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,23,WT
441,441,216,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,25,WT
442,442,225,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,26,WT
443,443,243,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,28,WT
444,444,252,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,29,WT
445,445,270,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,31,WT
446,446,279,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,32,WT
447,447,288,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,17,KO
448,448,297,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,18,KO
449,449,306,30,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,19,KO
450,450,315,20,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,20,KO
