,index,threshold,file,channel,genotype
67,574,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,19,KO
68,588,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,21,KO
69,623,50,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,26,KO
70,630,50,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,27,KO
71,637,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,28,KO
72,644,50,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,29,KO
73,651,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,30,KO
74,658,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,31,KO
75,665,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,32,KO
76,672,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,17,KO
77,679,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,18,KO
78,686,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,19,KO
79,693,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,20,KO
80,700,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,21,KO
81,707,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,22,KO
82,714,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,23,KO
83,721,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,24,KO
84,728,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,25,KO
85,735,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,26,KO
86,742,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,27,KO
87,749,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,28,KO
88,756,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,29,KO
89,763,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,30,KO
90,770,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,31,KO
91,777,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,32,KO
92,784,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,17,WT
93,791,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,18,WT
94,798,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,19,WT
95,805,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,20,WT
96,812,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,21,WT
97,819,40,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,22,WT
98,840,40,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,25,WT
99,847,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,26,WT
100,854,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,27,WT
101,861,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,28,WT
102,875,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,30,WT
103,882,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,31,WT
104,889,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,32,WT
105,0,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,17,WT
106,7,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,18,WT
107,14,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,19,WT
108,21,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,20,WT
109,28,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,21,WT
110,35,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,22,WT
111,42,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,23,WT
112,49,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,24,WT
113,56,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,25,WT
114,63,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,26,WT
115,70,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,27,WT
116,77,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,28,WT
117,84,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,29,WT
118,91,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,30,WT
119,98,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,31,WT
120,105,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,32,WT
121,112,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,17,WT
122,126,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,19,WT
123,154,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,23,WT
124,161,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,24,WT
125,168,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,25,WT
126,175,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,26,WT
127,189,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,28,WT
128,196,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,29,WT
129,203,40,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,30,WT
130,224,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,17,WT
131,231,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,18,WT
132,238,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,19,WT
133,245,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,20,WT
134,252,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,21,WT
135,259,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,22,WT
136,266,10,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,23,WT
137,273,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,24,WT
138,280,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,25,WT
139,287,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,26,WT
140,294,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,27,WT
141,301,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,28,WT
142,308,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,29,WT
143,315,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,30,WT
144,322,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,31,WT
145,329,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,32,WT
146,357,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,20,KO
147,364,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,21,KO
148,378,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,23,KO
149,385,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,24,KO
150,420,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,29,KO
151,434,50,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,31,KO
152,441,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,32,KO
153,448,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,17,KO
154,455,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,18,KO
155,462,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,19,KO
156,469,40,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,20,KO
157,476,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,21,KO
158,483,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,22,KO
159,490,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,23,KO
160,497,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,24,KO
161,504,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,25,KO
162,511,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,26,KO
163,518,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,27,KO
164,525,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,28,KO
165,532,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,29,KO
166,539,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,30,KO
167,546,30,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,31,KO
168,553,20,F:\Fmr1 SD Tanks\KO\BA190328H\Block-3,32,KO
169,0,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,17,WT
170,3,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,18,WT
171,6,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,19,WT
172,9,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,20,WT
173,12,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,21,WT
174,15,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,22,WT
175,18,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,23,WT
176,21,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,24,WT
177,24,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,25,WT
178,27,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,26,WT
179,30,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,27,WT
180,33,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,28,WT
181,36,30,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,29,WT
182,39,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,30,WT
183,42,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,31,WT
184,45,20,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,32,WT
185,48,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,17,WT
186,51,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,18,WT
187,54,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,19,WT
188,57,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,20,WT
189,60,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,21,WT
190,63,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,22,WT
191,66,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,23,WT
192,75,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,26,WT
193,78,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,27,WT
194,81,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,28,WT
195,84,40,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,29,WT
196,87,30,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,30,WT
197,90,10,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,31,WT
198,93,20,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,32,WT
199,96,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,17,WT
200,99,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,18,WT
201,102,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,19,WT
202,105,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,20,WT
203,108,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,21,WT
204,111,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,22,WT
205,114,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,23,WT
206,117,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,24,WT
207,120,40,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,25,WT
208,123,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,26,WT
209,126,30,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,27,WT
210,129,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,28,WT
211,132,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,29,WT
212,135,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,30,WT
213,138,10,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,31,WT
214,141,20,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,32,WT
215,144,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,17,KO
216,147,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,18,KO
217,150,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,19,KO
218,153,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,20,KO
219,156,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,21,KO
220,159,40,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,22,KO
221,162,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,23,KO
222,165,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,24,KO
223,168,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,25,KO
224,171,10,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,26,KO
225,174,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,27,KO
226,177,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,28,KO
227,180,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,29,KO
228,183,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,30,KO
229,186,20,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,31,KO
230,189,30,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,32,KO
231,192,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,17,KO
232,195,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,18,KO
233,198,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,19,KO
234,201,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,20,KO
235,204,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,21,KO
236,207,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,22,KO
237,210,10,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,23,KO
238,213,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,24,KO
239,216,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,25,KO
240,219,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,26,KO
241,222,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,27,KO
242,225,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,28,KO
243,228,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,29,KO
244,231,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,30,KO
245,234,20,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,31,KO
246,237,30,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,32,KO
247,240,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,17,KO
248,243,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,18,KO
249,246,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,19,KO
250,249,40,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,20,KO
251,255,40,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,22,KO
252,261,40,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,24,KO
253,267,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,26,KO
254,270,40,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,27,KO
255,273,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,28,KO
256,279,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,30,KO
257,282,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,31,KO
258,285,30,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,32,KO
259,288,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,17,KO
260,291,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,18,KO
261,294,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,19,KO
262,297,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,20,KO
263,300,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,21,KO
264,303,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,22,KO
265,306,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,23,KO
266,309,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,24,KO
267,312,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,25,KO
268,315,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,26,KO
269,318,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,27,KO
270,321,10,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,28,KO
271,324,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,29,KO
272,327,30,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,30,KO
273,330,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,31,KO
274,333,20,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,32,KO
275,336,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,17,WT
276,339,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,18,WT
277,342,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,19,WT
278,345,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,20,WT
279,348,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,21,WT
280,354,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,23,WT
281,357,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,24,WT
282,360,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,25,WT
283,363,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,26,WT
284,366,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,27,WT
285,369,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,28,WT
286,372,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,29,WT
287,375,20,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,30,WT
288,378,30,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,31,WT
289,381,40,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,32,WT
290,0,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,17,WT
291,3,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,18,WT
292,6,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,19,WT
293,9,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,20,WT
294,12,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,21,WT
295,15,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,22,WT
296,18,10,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,23,WT
297,21,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,24,WT
298,24,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,25,WT
299,27,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,26,WT
300,30,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,27,WT
301,33,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,28,WT
302,36,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,29,WT
303,39,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,30,WT
304,42,20,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,31,WT
305,45,30,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,32,WT
306,48,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,17,WT
307,51,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,18,WT
308,54,40,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,19,WT
309,57,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,20,WT
310,60,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,21,WT
311,66,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,23,WT
312,69,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,24,WT
313,72,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,25,WT
314,75,20,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,26,WT
315,78,40,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,27,WT
316,81,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,28,WT
317,84,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,29,WT
318,87,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,30,WT
319,90,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,31,WT
320,93,30,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,32,WT
321,96,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,17,WT
322,99,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,18,WT
323,102,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,19,WT
324,105,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,20,WT
325,108,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,21,WT
326,111,40,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,22,WT
327,114,10,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,23,WT
328,117,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,24,WT
329,120,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,25,WT
330,123,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,26,WT
331,126,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,27,WT
332,129,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,28,WT
333,132,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,29,WT
334,135,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,30,WT
335,138,20,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,31,WT
336,141,30,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,32,WT
337,153,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,20,KO
338,162,30,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,23,KO
339,165,40,F:\Fmr1 SD Tanks\KO\BA190328A\Block-3,24,KO
