,index,CF,file,channel,genotype
61,518,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,11,WT
62,525,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,12,WT
63,539,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,14,WT
64,546,4000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,15,WT
65,553,6000,F:\Fmr1 SD Tanks\WT\BA190305G\Block-2,16,WT
66,560,45000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,1,WT
67,567,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,2,WT
68,574,45000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,3,WT
69,588,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,5,WT
70,595,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,6,WT
71,630,35000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,11,WT
72,651,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,14,WT
73,658,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,15,WT
74,665,12000,F:\Fmr1 SD Tanks\WT\BA190305H\Block-2,16,WT
75,672,8000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,1,KO
76,679,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,2,KO
77,686,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,3,KO
78,693,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,4,KO
79,700,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,5,KO
80,714,16000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,7,KO
81,742,8000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,11,KO
82,749,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,12,KO
83,756,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,13,KO
84,763,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,14,KO
85,770,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,15,KO
86,777,12000,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,16,KO
87,784,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,1,KO
88,791,20000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,2,KO
89,798,20000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,3,KO
90,805,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,4,KO
91,812,8000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,5,KO
92,826,16000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,7,KO
93,861,12000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,12,KO
94,868,16000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,13,KO
95,875,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,14,KO
96,882,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,15,KO
97,889,24000,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,16,KO
98,896,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,1,KO
99,903,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,2,KO
100,917,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,4,KO
101,924,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,5,KO
102,938,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,7,KO
103,973,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,12,KO
104,980,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,13,KO
105,987,1500,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,14,KO
106,994,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,15,KO
107,1001,2000,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,16,KO
108,1008,24000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,1,KO
109,1015,24000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,2,KO
110,1029,16000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,4,KO
111,1036,16000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,5,KO
112,1050,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,7,KO
113,1057,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,8,KO
114,1071,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,10,KO
115,1085,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,12,KO
116,1092,16000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,13,KO
117,1106,20000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,15,KO
118,1113,24000,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,16,KO
119,1120,35000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,1,KO
120,1127,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,2,KO
121,1134,2000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,3,KO
122,1148,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,5,KO
123,1162,35000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,7,KO
124,1183,20000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,10,KO
125,1197,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,12,KO
126,1204,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,13,KO
127,1211,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,14,KO
128,1218,20000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,15,KO
129,1225,30000,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,16,KO
130,1232,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,1,KO
131,1239,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,2,KO
132,1246,4000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,3,KO
133,1253,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,4,KO
134,1260,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,5,KO
135,1267,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,6,KO
136,1274,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,7,KO
137,1302,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,11,KO
138,1309,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,12,KO
139,1316,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,13,KO
140,1323,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,14,KO
141,1330,6000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,15,KO
142,1337,8000,F:\Fmr1 SD Tanks\KO\BA190312A\Block-3,16,KO
143,1344,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,1,KO
144,1351,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,2,KO
145,1358,35000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,3,KO
146,1365,16000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,4,KO
147,1372,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,5,KO
148,1379,40000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,6,KO
149,1386,16000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,7,KO
150,1407,16000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,10,KO
151,1414,35000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,11,KO
152,1421,20000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,12,KO
153,1428,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,13,KO
154,1435,35000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,14,KO
155,1442,24000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,15,KO
156,1449,30000,F:\Fmr1 SD Tanks\KO\BA190312C\Block-3,16,KO
157,1456,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,1,KO
158,1463,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,2,KO
159,1470,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,3,KO
160,1477,3000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,4,KO
161,1484,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,5,KO
162,1491,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,6,KO
163,1498,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,7,KO
164,1526,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,11,KO
165,1533,2000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,12,KO
166,1540,3000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,13,KO
167,1547,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,14,KO
168,1554,1500,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,15,KO
169,1561,2000,F:\Fmr1 SD Tanks\KO\BA190312E\Block-3,16,KO
170,1568,8000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,1,KO
171,1575,8000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,2,KO
172,1582,20000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,3,KO
173,1589,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,4,KO
174,1596,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,5,KO
175,1603,24000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,6,KO
176,1638,24000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,11,KO
177,1645,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,12,KO
178,1652,16000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,13,KO
179,1659,12000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,14,KO
180,1666,8000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,15,KO
181,1673,8000,F:\Fmr1 SD Tanks\KO\BA190312G\Block-3,16,KO
182,1680,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,1,KO
183,1687,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,2,KO
184,1694,40000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,3,KO
185,1701,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,4,KO
186,1708,16000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,5,KO
187,1715,8000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,6,KO
188,1722,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,7,KO
189,1743,8000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,10,KO
190,1750,40000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,11,KO
191,1757,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,12,KO
192,1764,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,13,KO
193,1771,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,14,KO
194,1778,8000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,15,KO
195,1785,12000,F:\Fmr1 SD Tanks\KO\BA190312I\Block-3,16,KO
196,1806,40000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,3,WT
197,1862,30000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,11,WT
198,1897,45000,F:\Fmr1 SD Tanks\WT\BA190313A\Block-3,16,WT
199,1904,16000,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,1,WT
200,1974,20000,F:\Fmr1 SD Tanks\WT\BA190313E\Block-3,11,WT
201,2016,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,1,WT
202,2023,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,2,WT
203,2030,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,3,WT
204,2044,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,5,WT
205,2051,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,6,WT
206,2086,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,11,WT
207,2093,55000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,12,WT
208,2107,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,14,WT
209,2114,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,15,WT
210,2121,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,16,WT
211,7,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,2,WT
212,14,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,3,WT
213,35,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,6,WT
214,70,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,11,WT
215,91,30000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,14,WT
216,105,45000,F:\Fmr1 SD Tanks\WT\BA190313G\Block-4,16,WT
217,112,35000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,1,WT
218,119,35000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,2,WT
219,126,4000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,3,WT
220,147,4000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,6,WT
221,182,8000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,11,WT
222,210,35000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,15,WT
223,217,35000,F:\Fmr1 SD Tanks\WT\BA190313I\Block-3,16,WT
224,224,8000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,1,WT
225,231,8000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,2,WT
226,238,6000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,3,WT
227,252,35000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,5,WT
228,259,8000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,6,WT
229,294,4000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,11,WT
230,301,35000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,12,WT
231,308,6000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,13,WT
232,315,8000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,14,WT
233,322,35000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,15,WT
234,329,12000,F:\Fmr1 SD Tanks\WT\BA190313J\Block-3,16,WT
235,336,8000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,1,WT
236,343,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,2,WT
237,350,12000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,3,WT
238,364,4000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,5,WT
239,406,12000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,11,WT
240,413,8000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,12,WT
241,427,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,14,WT
242,434,8000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,15,WT
243,441,6000,F:\Fmr1 SD Tanks\WT\BA190326A\Block-3,16,WT
244,448,45000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,1,WT
245,455,50000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,2,WT
246,462,30000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,3,WT
247,476,45000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,5,WT
248,483,35000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,6,WT
249,518,35000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,11,WT
250,539,30000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,14,WT
251,546,50000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,15,WT
252,553,35000,F:\Fmr1 SD Tanks\WT\BA190326C\Block-3,16,WT
253,567,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,2,WT
254,581,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,4,WT
255,588,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,5,WT
256,637,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,12,WT
257,658,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,15,WT
258,665,6000,F:\Fmr1 SD Tanks\WT\BA190326E\Block-3,16,WT
259,672,30000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,1,WT
260,686,24000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,3,WT
261,707,30000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,6,WT
262,742,24000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,11,WT
263,763,24000,F:\Fmr1 SD Tanks\WT\BA190326G\Block-3,14,WT
264,784,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,1,WT
265,791,45000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,2,WT
266,798,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,3,WT
267,819,35000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,6,WT
268,847,35000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,10,WT
269,854,30000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,11,WT
270,861,45000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,12,WT
271,868,45000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,13,WT
272,875,24000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,14,WT
273,882,50000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,15,WT
274,889,50000,F:\Fmr1 SD Tanks\WT\BA190326I\Block-3,16,WT
275,896,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,1,KO
276,910,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,3,KO
277,987,35000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,14,KO
278,994,12000,F:\Fmr1 SD Tanks\KO\BA190328C\Block-3,15,KO
279,1008,6000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,1,KO
280,1015,6000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,2,KO
281,1022,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,3,KO
282,1029,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,4,KO
283,1036,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,5,KO
284,1043,3000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,6,KO
285,1050,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,7,KO
286,1071,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,10,KO
287,1078,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,11,KO
288,1085,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,12,KO
289,1092,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,13,KO
290,1099,8000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,14,KO
291,1106,12000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,15,KO
292,1113,8000,F:\Fmr1 SD Tanks\KO\BA190328E\Block-3,16,KO
293,0,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,1,WT
294,3,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,2,WT
295,6,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,3,WT
296,9,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,4,WT
297,12,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,5,WT
298,15,50000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,6,WT
299,18,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,7,WT
300,21,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,8,WT
301,24,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,9,WT
302,27,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,10,WT
303,30,50000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,11,WT
304,33,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,12,WT
305,36,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,13,WT
306,39,35000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,14,WT
307,42,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,15,WT
308,45,30000,F:\Fmr1 SD Tanks\WT\BA190305A\Block-2,16,WT
309,48,4000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,1,WT
310,51,8000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,2,WT
311,54,6000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,3,WT
312,57,8000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,4,WT
313,60,12000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,5,WT
314,63,2000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,6,WT
315,66,35000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,7,WT
316,78,6000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,11,WT
317,81,30000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,12,WT
318,84,12000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,13,WT
319,87,6000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,14,WT
320,90,8000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,15,WT
321,93,4000,F:\Fmr1 SD Tanks\WT\BA190305C\Block-2,16,WT
322,96,24000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,1,WT
323,99,24000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,2,WT
324,105,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,4,WT
325,108,6000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,5,WT
326,114,24000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,7,WT
327,117,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,8,WT
328,120,20000,F:\Fmr1 SD Tanks\WT\BA190305E\Block-2,9,WT
